Pagu,LT,BT
1560,-6.78355361013266,111.781802614027
7300,-6.77228108720044,111.725224646701
670,-6.87930232876153,112.020209557951
1460,-6.77055419333396,111.735666916599
5940,-6.76973751004239,111.719349428689
1140,-6.77115876836813,111.725034917983
730,-6.81235387639841,111.810269297612
850,-6.7877123971636,111.742244969924
2030,-6.811390618481,111.764987742281
1910,-6.82256870531328,111.741753619733
4590,-6.77199681499647,111.691883983951
2380,-6.80548783665792,111.809497505655
2310,-6.80763264129888,111.779373212962
3000,-6.82123607745948,111.694207215383
2060,-6.80888630133742,111.768274240785
2000,-6.7957647415561,111.752470674657
2670,-6.79519491277554,111.72679805476
1410,-6.89324123210692,112.058746469949
3070,-6.81909976639513,111.773650768361
2570,-6.76605376995013,111.712346607082
1930,-6.8083834542483,111.74413759586
1760,-6.8026884310812,111.711210948029
1920,-6.77991804801631,111.727659758983
5210,-6.7779526,111.6670969
6660,-6.96236968621309,111.715503808876
4080,-6.95617479207485,111.714397441301
1990,-6.99348551126969,111.689869656532
1790,-6.98169724255746,111.710845632019
1570,-6.97685375745411,111.722098011831
2000,-6.93403063236743,111.691819599051
2110,-6.95668104368909,111.718921927427
1400,-6.97543640200128,111.686950806588
4830,-6.90707560249353,111.740167258716
1380,-6.9839162052221,111.71659681224
2830,-6.91248154933089,111.695432889604
3630,-6.90159150917368,111.735337552752
3330,-6.96658674967293,111.685829045662
1540,-6.97700367156331,111.719259180707
5530,-7.04855289553911,111.959923514134
2570,-7.01746007433981,112.025634017498
2420,-7.00547017886138,112.030160222119
7870,-6.99610188286545,111.987932786873
5970,-7.01569565526213,111.98123828818
1460,-7.01807784582883,112.034624035888
7280,-7.01507507445067,112.006747995571
1480,-7.0368659,111.9332781
3030,-7.02445504339835,111.945809749111
2860,-7.00193777717985,112.04966584377
6010,-7.00092861504678,111.964634027643
860,-6.8288653010823,111.662417511994
2060,-6.84477610835522,111.656037112861
770,-6.88406472226359,111.69234484076
1390,-6.90209661063382,111.704240236738
3410,-6.87724653801304,111.668827717752
730,-7.00505057220128,112.014303189296
1010,-6.87602458435118,111.633041349034
1740,-6.86480485176045,111.625890225627
1630,-6.85895448519867,111.687328794692
1480,-6.85989187118065,111.687414660938
1710,-6.82706463977921,111.680642062098
1780,-6.87148623892539,111.644604350004
2350,-6.87695733000943,111.66175486088
1800,-6.86873068683605,111.716849911858
1030,-6.90960032470116,111.676553077898
2210,-6.88132102459557,111.665219576633
2480,-6.84614184850596,111.626168375907
4120,-6.88097116119446,111.651142856992
3960,-6.82912399290014,112.000292752678
3230,-6.83620193751871,112.002635980179
1780,-6.83007476397976,111.99559103431
1610,-6.82597047047029,112.006815954455
2750,-6.79799771221791,111.961430802351
2950,-6.78939772713112,111.983026969787
1420,-6.78437202271554,111.922906759215
1990,-6.79671188155132,111.978848499038
1980,-6.7751665186515,111.963184774127
1860,-6.84053598185827,112.001698951438
2850,-6.78994190359843,111.897149443097
3710,-6.86242823488281,112.024267725286
3470,-6.78964658435817,111.964725427875
2930,-6.83875421215875,111.982182452929
2210,-6.77115664944211,111.937822494923
4170,-6.79238391175928,111.91717035872
2280,-6.81315813490704,111.983986368365
1950,-6.95227556983379,111.643386521853
3370,-6.95963594432748,111.617742169951
2460,-6.92484147871937,111.585535043056
3560,-6.90924457904932,111.660894889781
5490,-6.91558884170638,111.624737760561
2770,-6.93604541342788,111.674329797631
4460,-6.92509432691738,111.669021412108
2290,-6.93949657464635,111.593946029813
3080,-6.90747366756862,111.612571724963
6810,-6.88047420585833,111.860394405079
3970,-6.87323738901442,111.808071306649
1740,-6.93170281074931,111.876820476825
4690,-6.89621086498852,111.884801235535
3260,-6.89554210649883,111.906940427433
730,-6.87350304505793,111.885586340857
2400,-6.87893615121075,111.875104415716
3500,-6.89522436262393,111.888535169907
4550,-6.8887926382787,111.877264885348
1760,-6.83080728869515,111.890107422664
1700,-6.89859070735549,111.904617414271
7500,-6.91940042526841,111.821477269952
1120,-6.87818287296564,111.894578848132
780,-6.90161819311259,111.890935690439
2710,-6.91476142547688,111.84775162804
2290,-6.88229054910822,111.815045021141
5790,-6.86352981431171,111.840449449457
1460,-6.88008413766075,112.015915982874
2150,-6.86683233204172,111.970982684973
3130,-6.8863386780905,111.989332607172
3170,-6.88011608293724,111.994931801509
4540,-6.86733927485681,111.947820447599
1250,-6.87908574508573,111.984965543011
1540,-7.16407990779744,112.150362983154
1300,-6.87448686599417,112.000171528046
3820,-6.87051526135648,111.960262112443
3910,-6.84022640789868,111.948713170341
1490,-6.85988759356227,111.984405967749
1230,-6.86548884899627,112.007926425845
5820,-6.89533645313009,111.992060067433
4700,-6.90293049690923,112.004978701443
4080,-6.86350218760803,111.935271367574
1710,-6.85295658242873,111.924757082176
1840,-6.83859137193702,111.933807142948
2280,-6.87324309637955,111.971185685285
4070,-6.873852463092,111.980413440823
3710,-7.0062898150263,111.903415614372
2950,-6.9528458420497,111.826722853296
8800,-7.14846033331369,111.873369812474
2760,-7.01025150337177,111.919565281475
2050,-7.01645736638492,111.840096187379
4130,-6.94752041031272,111.880786527137
1360,-6.97729547315106,111.837707153351
2090,-6.95193455023426,111.897670817751
3640,-6.94375393647389,111.902756843221
6130,-6.95964970075807,111.905697008798
4880,-6.95265768023093,111.859430650658
1730,-6.94975761787536,111.918731965664
3170,-6.99133724763679,111.851438138278
3250,-6.92505625758705,112.135711297517
3810,-6.91957517439067,112.169441914295
2410,-6.92789954153163,112.112992142599
2800,-6.89909060783753,112.136681476004
5230,-6.90607306108866,112.149043876447
7420,-6.89737385037248,112.166386349688
2430,-6.92189666552477,112.179494103756
2440,-6.8997301546215,112.120493460803
5260,-6.92070847783306,112.148785312164
4920,-6.92087822620471,112.149386141811
4870,-7.27968432907635,112.210139531528
3790,-6.90067575798318,112.141154716204
3030,-6.89408325997043,112.087975682083
1790,-6.89989749640345,112.17281598835
3370,-6.92038072901223,112.14134441943
2250,-6.90799192324023,112.107383830049
4000,-6.89788066372475,112.095397485414
4450,-6.92694167096079,112.09865236898
4370,-6.92625589500305,112.167085351976
1910,-7.08478828429427,111.846216516204
1640,-7.07997577622539,111.843040634557
3430,-7.01469815485182,111.888873530611
800,-7.05746068118722,111.800201356752
4490,-7.07483238082882,111.831552288692
1880,-7.06023465485087,111.808860707434
2990,-7.10302941966038,111.848001429738
4080,-7.10812374754662,111.878365570174
2600,-7.03485132816802,111.807445056607
1880,-7.05711119085119,111.869886127686
2810,-7.0682669165227,111.843033673394
3910,-7.11125825090735,111.860936622274
2210,-7.18245409586252,111.872282318775
1850,-7.1290547,111.8760275
3460,-7.10097864862321,111.865814531069
3000,-7.12210387725283,112.117431796141
2840,-7.04520163084964,111.808115776023
3060,-7.03512662453253,111.868437698952
3440,-7.0829830,112.1082754
1820,-7.02595534452788,112.091504586152
5040,-7.0304992,112.1109131
6280,-7.08225262470056,112.126794433123
2780,-6.87031557519411,111.877447591331
6390,-7.0651228812631,112.136405956414
3370,-7.04770879972319,112.076836998541
5040,-7.03287050584134,112.070926864652
7620,-7.07611286334991,112.122645557092
5760,-7.02995927343222,112.126056597296
2150,-7.01732400029004,112.102997258266
8880,-7.0291582739267,112.135138470038
3360,-7.0808304790674,112.091358085007
8580,-7.10553343107636,112.342890324218
1890,-7.07024510085136,112.089079410689
6450,-6.99877895320333,112.108591694922
4470,-7.02670442387335,112.092234658473
2630,-7.03266620325017,112.062880022926
2500,-7.03624394724656,112.048975303046
4270,-7.064015264054,112.057721871668
6280,-7.08869554335086,111.975469217797
3580,-7.06495254059687,112.044074550318
2660,-7.09312339793192,112.002250021452
4400,-7.10797760683654,111.988064966321
2200,-7.08681309326712,111.969757410238
5490,-7.06827997111696,111.984186972051
3530,-7.07001417795497,112.013461481976
6340,-7.06967212048396,111.975437995611
2540,-7.06067407090594,112.07201186849
3880,-7.04748798773294,112.028719684604
5780,-7.06177715882425,112.008858044633
2370,-7.06753481623576,112.00550249172
2720,-7.06262918749633,112.010511682331
2060,-7.12412399289432,112.001485700701
2180,-6.92317172564129,112.063168973057
10470,-6.94105169875081,112.048988250079
2090,-6.91310364571804,112.001738143744
3470,-6.90478494451986,112.063925473142
5490,-6.95873207992671,112.084935027392
4150,-6.96281965659695,112.108197798606
6080,-6.93406352157252,111.996416290503
710,-6.91067840368972,112.054525864838
4940,-6.94339598771865,112.085878789833
3980,-6.94846412951726,112.059288741875
6770,-6.9425445234531,112.060902441046
8250,-6.9228734270829,112.052010774381
720,-6.92479093285401,112.054972018635
4570,-6.97309111198462,112.06093339912
1540,-6.92008721013767,112.062677753174
1900,-6.91382167366201,112.0517216545
4480,-6.93947537488192,112.099440630625
1720,-7.06217750324293,111.696636171887
6130,-7.01217976943741,111.721400341073
4660,-7.0309921486329,111.70180642909
3840,-7.05855920655041,111.776573640782
3220,-7.01982000688328,111.716685524831
7090,-6.99886434405214,111.711706831565
5440,-7.05367118966489,111.774225067802
3690,-7.00167667994721,111.727604290879
5400,-7.03217122721146,111.741508857361
3850,-7.0168349310992,111.728119011835
1720,-7.02169515917014,111.735224200124
2050,-7.07283848442915,111.711461729913
2380,-7.02421557183816,111.775316041154
5290,-7.00660236795509,111.790271689293
3560,-6.96323407887743,111.748810330211
2510,-6.96255254346805,111.748467011367
2600,-6.99671329994643,111.774334730388
10840,-6.9714942608056,111.785271483971
2740,-6.99761996052731,111.791694625653
5710,-7.02132247910556,111.78677970701
2790,-6.97560693394012,111.755412154959
2600,-7.0048927171392,111.770106169894
4880,-6.97374307547529,111.793284740038
3570,-7.00602449129509,111.786935969892
5130,-7.10559873945088,111.953663199137
2830,-7.08154714953593,111.916039485489
2580,-7.1471608251388,111.981961801054
5660,-7.06457899689279,111.960261755985
3410,-7.088721993113,111.907678604772
8880,-7.0748861093854,111.947248991191
2900,-7.15196772517521,111.939877499255
2420,-7.1270060370999,111.990998614546
6410,-7.05958758862116,111.91900175392
2090,-7.13561306637947,111.910261383436
4960,-7.10831516976941,111.932442643736
4750,-7.13630182561099,111.945070883193
4290,-7.07348860965833,111.958325398764
3450,-7.10588438876129,111.918321605401
4340,-7.12798417918219,111.963264396242
8810,-7.11588905560333,111.968413601019
4440,-7.10483853213521,111.967903699237
5840,-7.11788616673099,111.968609554469
3980,-7.12711516515923,111.932527584656
7130,-7.11263597015077,111.947998381521
5420,-7.0961547432747,111.961001756384
2890,-7.06134547357031,111.905416132404
2820,-7.04856542061014,111.907818805916
860,-6.82783215696138,111.808778428691
2170,-6.82519040131747,111.814614741576
1890,-6.81266228243606,111.843453968731
1790,-6.87111969425658,111.782434576266
1660,-6.80141268609762,111.83229586988
2610,-6.7929751326144,111.893149812602
1380,-6.80072093246482,111.8501044589
2500,-6.81611402049479,111.839248218784
